Bivariate analysis PAD possibly useful input

Predictor 1      Univariate performance    Predictor 2      Univariate performance    Bivariate performance

ps_reg_03        55.87                     ps_car_13        57.43                     58.97                
ps_reg_02        55.67                     ps_car_13        57.43                     58.89                
ps_ind_17_bin    53.25                     ps_car_13        57.43                     58.84                
ps_car_01_cat    55.09                     ps_car_13        57.43                     58.66                
ps_ind_05_cat    52.67                     ps_car_13        57.43                     58.65                
ps_ind_03        53.93                     ps_car_13        57.43                     58.62                
ps_car_07_cat    52.26                     ps_car_13        57.43                     58.46                
ps_reg_01        53.7                      ps_car_13        57.43                     58.43                
ps_ind_16_bin    53.57                     ps_car_13        57.43                     58.4                 
ps_ind_06_bin    54.5                      ps_car_13        57.43                     58.28                
ps_car_03_cat    53.95                     ps_car_13        57.43                     58.23                
ps_ind_15        53.48                     ps_car_13        57.43                     58.13                
ps_ind_07_bin    54.02                     ps_car_13        57.43                     58.02                
ps_ind_01        52.83                     ps_car_13        57.43                     57.88                
ps_car_05_cat    53.07                     ps_car_13        57.43                     57.83                
ps_car_13        57.43                     ps_car_14        54.95                     57.78                
ps_car_04_cat    53.58                     ps_car_13        57.43                     57.73                
ps_ind_04_cat    51.26                     ps_car_13        57.43                     57.7                 
ps_car_06_cat    54.08                     ps_car_13        57.43                     57.69                
ps_car_09_cat    51.44                     ps_car_13        57.43                     57.67                
ps_reg_03        55.87                     ps_car_12        55.44                     57.66                
ps_reg_03        55.87                     ps_car_14        54.95                     57.56                
ps_ind_17_bin    53.25                     ps_reg_03        55.87                     57.55                
ps_car_12        55.44                     ps_car_13        57.43                     57.52                
ps_car_11_cat    53.68                     ps_car_13        57.43                     57.51                
ps_reg_02        55.67                     ps_car_12        55.44                     57.51                
ps_car_13        57.43                     ps_car_15        54.4                      57.47                
ps_ind_07_bin    54.02                     ps_reg_03        55.87                     57.47                
ps_reg_03        55.87                     ps_car_04_cat    53.58                     57.45                
ps_reg_02        55.67                     ps_car_14        54.95                     57.4                 
ps_ind_07_bin    54.02                     ps_reg_02        55.67                     57.39                
ps_ind_17_bin    53.25                     ps_reg_02        55.67                     57.34                
ps_reg_03        55.87                     ps_car_15        54.4                      57.33                
ps_car_01_cat    55.09                     ps_car_12        55.44                     57.32                
ps_ind_06_bin    54.5                      ps_reg_03        55.87                     57.27                
ps_reg_02        55.67                     ps_car_04_cat    53.58                     57.26                
ps_reg_03        55.87                     ps_car_03_cat    53.95                     57.23                
ps_ind_16_bin    53.57                     ps_reg_03        55.87                     57.22                
ps_reg_02        55.67                     ps_car_15        54.4                      57.22                
ps_ind_17_bin    53.25                     ps_car_12        55.44                     57.19                
ps_reg_03        55.87                     ps_car_01_cat    55.09                     57.19                
ps_ind_06_bin    54.5                      ps_reg_02        55.67                     57.17                
ps_reg_03        55.87                     ps_car_07_cat    52.26                     57.12                
ps_reg_02        55.67                     ps_car_03_cat    53.95                     57.12                
ps_ind_06_bin    54.5                      ps_car_12        55.44                     57.08                
ps_reg_02        55.67                     ps_car_01_cat    55.09                     57.08                
ps_ind_03        53.93                     ps_car_12        55.44                     57.07                
ps_ind_16_bin    53.57                     ps_reg_02        55.67                     57.06                
ps_ind_03        53.93                     ps_reg_03        55.87                     57.06                
ps_ind_15        53.48                     ps_reg_03        55.87                     57.05                
ps_reg_03        55.87                     ps_car_06_cat    54.08                     57.04                
ps_ind_05_cat    52.67                     ps_reg_03        55.87                     57.03                
ps_ind_05_cat    52.67                     ps_car_12        55.44                     57.01                
ps_car_03_cat    53.95                     ps_car_12        55.44                     56.96                
ps_ind_05_cat    52.67                     ps_reg_02        55.67                     56.96                
ps_ind_07_bin    54.02                     ps_car_01_cat    55.09                     56.95                
ps_car_01_cat    55.09                     ps_car_14        54.95                     56.95                
ps_reg_03        55.87                     ps_car_02_cat    53.19                     56.93                
ps_ind_03        53.93                     ps_car_01_cat    55.09                     56.93                
ps_ind_06_bin    54.5                      ps_car_14        54.95                     56.9                 
ps_ind_15        53.48                     ps_reg_02        55.67                     56.87                
ps_reg_02        55.67                     ps_car_06_cat    54.08                     56.87                
ps_ind_03        53.93                     ps_reg_02        55.67                     56.86                
ps_reg_02        55.67                     ps_car_07_cat    52.26                     56.85                
ps_car_12        55.44                     ps_car_15        54.4                      56.85                
ps_ind_06_bin    54.5                      ps_car_01_cat    55.09                     56.84                
ps_car_01_cat    55.09                     ps_car_15        54.4                      56.8                 
ps_ind_03        53.93                     ps_ind_06_bin    54.5                      56.8                 
ps_reg_01        53.7                      ps_car_12        55.44                     56.78                
ps_reg_02        55.67                     ps_car_02_cat    53.19                     56.77                
ps_ind_17_bin    53.25                     ps_car_01_cat    55.09                     56.77                
ps_car_01_cat    55.09                     ps_car_04_cat    53.58                     56.75                
ps_car_01_cat    55.09                     ps_car_06_cat    54.08                     56.74                
ps_ind_17_bin    53.25                     ps_car_14        54.95                     56.73                
ps_ind_16_bin    53.57                     ps_car_12        55.44                     56.71                
ps_car_07_cat    52.26                     ps_car_12        55.44                     56.7                 
ps_reg_03        55.87                     ps_car_11_cat    53.68                     56.7                 
ps_ind_07_bin    54.02                     ps_car_12        55.44                     56.69                
ps_ind_16_bin    53.57                     ps_car_01_cat    55.09                     56.67                
ps_ind_17_bin    53.25                     ps_car_15        54.4                      56.65                
ps_reg_03        55.87                     ps_car_05_cat    53.07                     56.65                
ps_ind_05_cat    52.67                     ps_car_14        54.95                     56.59                
ps_ind_05_cat    52.67                     ps_car_01_cat    55.09                     56.59                
ps_ind_15        53.48                     ps_car_01_cat    55.09                     56.59                
ps_ind_06_bin    54.5                      ps_car_03_cat    53.95                     56.55                
ps_reg_02        55.67                     ps_car_11_cat    53.68                     56.53                
ps_ind_07_bin    54.02                     ps_car_14        54.95                     56.53                
ps_ind_06_bin    54.5                      ps_car_06_cat    54.08                     56.49                
ps_ind_03        53.93                     ps_car_14        54.95                     56.49                
ps_ind_15        53.48                     ps_car_12        55.44                     56.48                
ps_ind_06_bin    54.5                      ps_ind_17_bin    53.25                     56.46                
ps_reg_03        55.87                     ps_car_08_cat    51.82                     56.46                
ps_car_12        55.44                     ps_car_14        54.95                     56.46                
ps_ind_06_bin    54.5                      ps_car_15        54.4                      56.45                
ps_ind_03        53.93                     ps_ind_07_bin    54.02                     56.44                
